SeniorCitizen,Partner_Num,Dependents_Num,PhoneService_Num,PaperlessBilling_Num,Gender_Num,Churn_Num,MultipleLines_Encoded,InternetService_Encoded,OnlineSecurity_Encoded,OnlineBackup_Encoded,DeviceProtection_Encoded,TechSupport_Encoded,StreamingTV_Encoded,StreamingMovies_Encoded,Contract_Encoded,PaymentMethod_Encoded,TenureGroup,ChargeGroup,HasMultipleLines,HasInternet,HasFiberOptic,HasDSL,HasOnlineSecurity,HasTechSupport,TotalServices,HasPartnerOrDependents,tenure_Scaled,MonthlyCharges_Scaled,ServiceCount_Scaled,AvgMonthlySpend_Scaled,TotalCharges_Scaled
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,-1.2826368140734004,-1.1640524529247205,-1.174156762236224,-1.4473276660514183,-0.9956150569451226
0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,2,1,0,1,0,1,0,0,5,0,0.06238245010809279,-0.2627920471730676,-0.42807060672211794,-0.1681199383023507,-0.1752494166654692
0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,3,0,-1.2418786545527492,-0.36588825594908697,-0.9254613770648553,-0.7555005005000115,-0.9610738101331435
0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,2,2,1,0,1,0,1,0,0,5,0,0.5107222048352572,-0.7500047757436107,-0.1793752215507493,-0.6256071469061304,-0.19675498220932588
0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,3,0,-1.2418786545527492,0.19448952401088906,-0.9254613770648553,-0.2806368839085135,-0.9418842285709329
0,0,0,1,1,0,1,2,1,0,1,1,0,1,1,0,0,0,2,1,1,1,0,0,0,6,0,-0.9973296974288413,1.157275086612747,-0.1793752215507493,1.0495270627966369,-0.6468278693092191
0,0,1,1,1,1,0,2,1,0,0,0,0,1,0,0,3,1,2,1,1,1,0,0,0,3,1,-0.42671546413972294,0.8064154083588745,-0.9254613770648553,0.8395998487852229,-0.14882514228440216
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,3,0,-0.9158133783875386,-1.1673781370787857,-0.6767659918934866,-1.0372926090290733,-0.8756029727152516
0,1,0,1,1,0,1,2,1,0,1,1,1,1,1,0,0,2,3,1,1,1,0,0,0,7,1,-0.18216650701581508,1.3285478205471015,0.06932016362061937,1.503743616867292,0.3349508259960173
0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,2,3,1,0,1,0,1,0,0,3,1,1.2036109166863296,-0.28939752040558886,-0.9254613770648553,-0.12297280628158273,0.529890506279715
0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,0,4,1,-0.7935388998255847,-0.49558993795762735,-0.6767659918934866,-0.5619292479239206,-0.7496355011040048
0,0,0,1,0,1,0,1,2,2,2,2,2,2,2,2,3,1,0,0,0,0,0,1,1,13,0,-0.6712644212636308,-1.5265520257178207,1.8101878598202,-1.3065542024310381,-0.8646185915451586
0,1,0,1,0,1,0,2,1,0,1,1,0,1,1,1,3,3,3,1,1,1,0,0,0,6,1,1.0405782786037243,1.1805548756912025,-0.1793752215507493,1.2173066566112367,1.49737627186965
0,0,0,1,1,1,1,2,1,0,0,1,0,1,1,0,2,3,3,1,1,1,0,0,0,5,0,0.6737548429178625,1.291965294852385,-0.42807060672211794,1.3625877247876939,1.2129293249429052
0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,2,3,0,1,1,0,0,0,8,0,-0.304440985577769,1.3518276096255575,0.318015548791988,1.447199100333894,0.1761404958259986
0,1,1,1,0,0,0,2,1,1,0,1,1,1,1,2,3,3,3,1,1,1,0,0,0,7,1,1.4889180333308887,1.6095681315656059,0.06932016362061937,1.7576040769026684,2.474081859405566
0,0,0,1,0,0,0,1,2,2,2,2,2,2,2,1,1,3,0,0,0,0,0,1,1,13,0,0.7960293214798164,-1.4700153950987134,1.8101878598202,-1.3040189552147454,-0.557519115578885
0,0,1,1,0,1,0,2,1,1,1,1,0,1,1,2,2,3,3,1,1,1,0,0,0,7,1,1.5704343523721913,1.3917358194743392,0.06932016362061937,1.4217082450533354,2.247821252893892
0,1,1,1,0,0,1,1,0,0,1,1,1,0,0,0,3,0,1,0,1,0,1,0,0,5,1,-0.9158133783875386,-0.32099151986920754,-0.42807060672211794,-0.36310536152346345,-0.7757068636402495
0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,2,0,1,1,0,0,0,4,0,-0.46747362366037426,0.8380094078224933,-0.6767659918934866,0.8370045058623229,-0.1869837355058094
1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,4,0,-1.2826368140734004,-0.8381354058263368,-0.42807060672211794,-1.2868565128584295,-0.9912918868460499
0,1,0,1,0,1,0,1,2,2,2,2,2,2,2,1,2,0,0,0,0,0,0,1,1,13,1,-0.834297059346236,-1.4982837104082671,1.8101878598202,-1.4266074896775984,-0.9195625543859248
